,S207,S327,S352,S364,S365,S366,S404,S413,S429,C006,C343,C363,C374,C376,C430,C227
200014_s_at,-0.39645443211912035,-0.05156459649266143,-0.1535097163920911,0.14608120335540598,0.19324075245895056,0.5371283084588985,0.2699191035884816,0.2346126898305121,0.08042133495458703,0.2747403442625753,-0.06484851819983106,-0.8781010776832554,0.7178828182800228,0.09670185413114041,0.12781766980636178,0.19211402040355097
200015_s_at,-0.24971659244763433,0.25123743069948734,0.1665102436490944,-0.08823734312593778,0.36878157181249893,0.1333788966705889,0.01275654559696271,-0.16362258177398914,-0.26269231130617055,0.5909359832702643,0.36886613443895655,-0.6972764533972491,0.6857281183634765,0.08207472937451854,-0.07013413886503361,0.07774210751560418
200016_x_at,-0.2891306580551314,0.18233416739743546,-0.23337267266813644,-0.06741867277476743,0.16126353860382459,-0.19529268523630616,-0.24171940719754037,-0.04711725382250709,-0.31948825035493744,0.6965650723349759,0.09052617676607877,-0.7404981322943636,0.7005178531408589,0.1392168245275407,-0.04236768176693939,0.010747485147456715
200017_at,-0.440780843110228,0.08397808767547232,-0.17719635664802613,0.1280767168707575,0.4327490629833566,0.23188694114964292,-0.028223196623743618,0.13809768926226695,-0.13110497500739804,0.9032551996970479,0.386423753968435,-0.8091376476037251,0.6507712438821418,0.15593865535071672,-0.07017913036585544,0.4384188232967592
200018_at,-0.1959538086795689,0.15373399533279297,-0.1262981165001147,0.18403395657107247,0.37991249606492605,0.05703795123805122,-0.20246182535876045,0.010234117281656907,-0.1691533051425278,0.6638947302497202,0.11209925686034339,-0.6577029138657213,0.5757320924998384,-0.0865956288365819,-0.038654252196252514,0.06554249004517576
200019_s_at,-0.22593018902549655,0.24079092164696192,-0.08343449902506794,0.08087765098245292,0.24010583851134015,0.0001330376942094702,-0.333569178268073,-0.06151427123189457,-0.15239338027919924,0.7405023010110607,0.13343138437172541,-0.5517332817429494,0.6222287408289224,-0.0144878851532102,-0.11545321671297692,0.05769873796915714
200020_at,-0.2116227786610878,0.37951141617578,0.09436107139987282,-0.09671157917249573,0.23731966264661786,0.2790070879112685,0.07842963456880803,0.1401143913561418,-0.12387269800955902,0.34802501504136174,-0.026679625670161577,-0.7683296232340648,0.7586641147852848,0.016412118809075338,0.06200617760657856,-0.06887948357940399
200021_at,-0.11522893435739157,-0.02250513509171803,-0.20430675634178463,0.16875613575452597,0.3896727960991653,-0.04432227838351466,0.030876469479816038,-0.06872141841638602,-0.08115628063077907,0.4286362703293811,0.0678613453828607,-0.5413915550042123,0.5277974383171049,-0.08196235580590638,0.04400820100367042,0.12126168304376606
200022_at,-0.5350605360735656,0.1762596400026082,-0.17105644516124485,0.07918670849405096,0.256033437121884,0.014932661241512157,-0.25252625053567357,-0.16955482068168948,-0.14700817946887668,0.6633925877444824,0.06838824129529364,-0.7755241725595274,0.6473994001679557,0.11218298566964169,-0.29300166217156054,0.09451937684281297
200023_s_at,-0.10510857093353376,0.0544759893058302,0.020412076261257184,0.02698371679589151,0.27402047606837066,0.006604630881961171,0.03761723155712815,-0.05725437612803663,-0.19987720014916022,0.15800648442385512,0.16893138430849763,-0.3530408943354528,0.4585107478428396,0.05352443107963989,-0.015464403803811422,0.12193506779793406
